Price,Area,Street,Facade,Direction,Saler,Type,Floor,Bathrooms,Bedrooms,Legal Doc,Price(million/m_square),District,City
13.5,65,Ngõ 2 ô tô tránh,5.5,,Nhà môi giới,Nhà ở,,4,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,207.69,Quận Cầu Giấy, Thành phố Hà Nội
0.67,46,Ngõ 1 ô tô,,,Chính chủ,Chung cư mini,,,,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",14.57,Quận Ba Đình, Thành phố Hà Nội
0.73,47,Ngõ 2 ô tô tránh,,,Chính chủ,Chung cư mini,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,15.53,Quận Ba Đình, Thành phố Hà Nội
2.55,80,Ngõ 2 ô tô tránh,,Đông,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,,31.88,Quận Cẩm Lệ, Thành phố Đà Nẵng
2,37,Ngõ ngách,3.5,,Nhà môi giới,Nhà ở,,5,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,54.05,Quận Ba Đình, Thành phố Hà Nội
7.6,30,Mặt phố - Mặt đường,4.5,,Chính chủ,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,253.33,Quận Ba Đình, Thành phố Hà Nội
0.752,80,Ngõ 4 ô tô trở lên,5,Đông Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,9.4,Huyện Châu Thành, Tỉnh Hậu Giang
2.5,50,Ngõ 3 ô tô tránh,4.6,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,50,Huyện Gia Lâm, Thành phố Hà Nội
24,116,,,,Nhà môi giới,Biệt thự,,,,,206.9,Quận Bắc Từ Liêm, Thành phố Hà Nội
1.2,120,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,10,Huyện Đồng Phú, Tỉnh Bình Phước
2.8,86,Ngõ 2 ô tô tránh,,,Chính chủ,Chung cư,,2,2,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",32.56,Quận Bắc Từ Liêm, Thành phố Hà Nội
1,100,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,10,Huyện Đồng Phú, Tỉnh Bình Phước
5.2,40,Ngõ ngách,,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,130,Quận Đống Đa, Thành phố Hà Nội
2.4,63,,7,,Nhà môi giới,Chung cư,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,38.1,Quận Lê Chân, Thành phố Hải Phòng
2.65,69,Mặt phố - Mặt đường,,,Chính chủ,Chung cư,,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,38.41,Quận Thủ Đức, Thành phố Hồ Chí Minh
2,200,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,10,Huyện Đồng Phú, Tỉnh Bình Phước
4.5,116,Mặt phố - Mặt đường,5.8,Bắc,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,38.79,Quận Ngũ Hành Sơn, Thành phố Đà Nẵng
1.05,1000,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,1.05,Thành phố Đà Lạt, Tỉnh Lâm Đồng
5,45,Ngõ 1 ô tô,,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,111.11,Quận Đống Đa, Thành phố Hà Nội
2.6,100,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,26,Huyện Cần Giuộc, Tỉnh Long An
1.5,9910.9,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,0.00015135,Huyện Đồng Phú, Tỉnh Bình Phước
2.4,63,Ngõ 2 ô tô tránh,7,,Nhà môi giới,Chung cư,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,38.1,Quận Lê Chân, Thành phố Hải Phòng
13.5,156,Ngõ 2 ô tô tránh,6,,Khách vãng lai,Nhà liền kề - Song lập - Đơn lập,,,,Hợp đồng mua bán,86.54,Quận Hà Đông, Thành phố Hà Nội
2.16,30,Ngõ ô tô đỗ cửa,3.5,Tây Bắc,Chính chủ,Nhà ở,,3,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,72,Huyện Hoài Đức, Thành phố Hà Nội
4.8,160,Ngõ 2 ô tô tránh,,Đông Bắc,Nhà môi giới,Chung cư,12,3,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,30,Quận Bắc Từ Liêm, Thành phố Hà Nội
3.3,100,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,33,Quận Ngũ Hành Sơn, Thành phố Đà Nẵng
3.8,32,Ngõ ngách,4,,Nhà môi giới,Nhà ở,,,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,118.75,Quận Cầu Giấy, Thành phố Hà Nội
3.4,106,Ngõ ngách,5,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,32.08,Huyện Gia Lâm, Thành phố Hà Nội
0.95,500,Mặt phố - Mặt đường,,,Khách vãng lai,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,1.9,Huyện Củ Chi, Thành phố Hồ Chí Minh
0.93,500,Ngõ ô tô đỗ cửa,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,1.86,Huyện Củ Chi, Thành phố Hồ Chí Minh
3,60,Ngõ 2 ô tô tránh,5,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,50,Quận Thanh Xuân, Thành phố Hà Nội
1.65,56,Ngõ ngách,4,Đông Nam,Nhà môi giới,Nhà ở,,2,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,29.46,Thành phố Nam Định, Tỉnh Nam Định
33,149,Ngõ 2 ô tô tránh,,,Nhà môi giới,Biệt thự,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,221.48,Quận Tây Hồ, Thành phố Hà Nội
1.5,118,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,12.71,Huyện Đồng Phú, Tỉnh Bình Phước
7.5,80,Ngõ 1 ô tô,,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,93.75,Quận Đống Đa, Thành phố Hà Nội
7.1,63,Ngõ ô tô đỗ cửa,4.2,Đông,Nhà môi giới,Nhà ở,,,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,112.7,Quận Gò Vấp, Thành phố Hồ Chí Minh
1.09,30,Ngõ ngách,3,Đông,Nhà môi giới,Nhà ở,2,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,36.33,Quận Hồng Bàng, Thành phố Hải Phòng
0.999,125,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,7.99,Thị xã Tân Uyên, Tỉnh Bình Dương
4.7,60,Mặt phố - Mặt đường,4,,Nhà môi giới,Shophouse - Nhà phố,,,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,78.33,Thị xã Dĩ An, Tỉnh Bình Dương
45,283,Ngõ 2 ô tô tránh,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,159.01,Quận Tây Hồ, Thành phố Hà Nội
4.8,50,Ngõ 1 ô tô,4,,Nhà môi giới,Nhà ở,,,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,96,Quận Thanh Xuân, Thành phố Hà Nội
50,160,Mặt phố - Mặt đường,10,,Nhà môi giới,Khách sạn - Nhà nghỉ,,,25,,312.5,Quận Sơn Trà, Thành phố Đà Nẵng
1.85,100,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,18.5,Huyện Long Thành, Tỉnh Đồng Nai
5.33,46,Ngõ 2 ô tô tránh,,,Nhà môi giới,Nhà ở,,4,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,115.87,Quận Thanh Xuân, Thành phố Hà Nội
15.3,97,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,157.73,Quận Hà Đông, Thành phố Hà Nội
12,67,Mặt phố - Mặt đường,6.3,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,179.1,Quận Lê Chân, Thành phố Hải Phòng
2.5,100,Mặt phố - Mặt đường,,"Nam, Bắc",Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,25,Huyện Trảng Bom, Tỉnh Đồng Nai
1.56,132,Mặt phố - Mặt đường,6,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,11.82,Huyện Đồng Phú, Tỉnh Bình Phước
0.8,70,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,11.43,Huyện Bắc Tân Uyên, Tỉnh Bình Dương
2,22.7,Ngõ ngách,3,Đông,Nhà môi giới,Nhà ở,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,88.11,Quận 7, Thành phố Hồ Chí Minh
2.4,63,Ngõ 2 ô tô tránh,7,,Nhà môi giới,Chung cư,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,38.1,Quận Lê Chân, Thành phố Hải Phòng
4,50,Ngõ ngách,4,,Nhà môi giới,Nhà ở,,,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,80,Quận Cầu Giấy, Thành phố Hà Nội
1.45,66,Ngõ 2 ô tô tránh,,,Chính chủ,Chung cư mini,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,22,Quận Hoàng Mai, Thành phố Hà Nội
0.75,70,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,,10.71,Huyện Bắc Tân Uyên, Tỉnh Bình Dương
4.95,60,Ngõ ô tô đỗ cửa,4,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,82.5,Quận Gò Vấp, Thành phố Hồ Chí Minh
1.2,475,Mặt phố - Mặt đường,,,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,2.53,Huyện Đức Hòa, Tỉnh Long An
6.1,56,Ngõ ô tô đỗ cửa,5,,Chính chủ,Nhà ở,,,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,108.93,Quận Gò Vấp, Thành phố Hồ Chí Minh
6.7,69.5,Ngõ ngách,7,,Nhà môi giới,Nhà ở,,,15,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,96.4,Quận Tân Bình, Thành phố Hồ Chí Minh
2.4,136,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,17.65,Thị xã Bến Cát, Tỉnh Bình Dương
4.7,160,Ngõ 2 ô tô tránh,,Đông Bắc,Nhà môi giới,Chung cư,12,3,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,29.38,Quận Bắc Từ Liêm, Thành phố Hà Nội
6.5,99,Ngõ 2 ô tô tránh,5,Bắc,Chính chủ,Shophouse - Nhà phố,,,,,65.66,Thành phố Nha Trang, Tỉnh Khánh Hòa
2.76,49.2,Ngõ 2 ô tô tránh,4.1,Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,56,Huyện Đông Anh, Thành phố Hà Nội
2.4,63,Mặt phố - Mặt đường,7,,Nhà môi giới,Chung cư,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,38.1,Quận Lê Chân, Thành phố Hải Phòng
9.5,65,Ngõ ô tô đỗ cửa,4.8,,Nhà môi giới,Nhà ở,,,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,146.15,Quận Thanh Xuân, Thành phố Hà Nội
1.3,42,Ngõ 1 ô tô,4.2,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,31,Huyện Đông Anh, Thành phố Hà Nội
1.38,50,Ngõ 2 ô tô tránh,,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,27.6,Quận Hai Bà Trưng, Thành phố Hà Nội
6.8,98,Ngõ 2 ô tô tránh,4.5,,Nhà môi giới,Nhà ở,,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,69.39,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
3.05,36,Ngõ 1 ô tô,6.2,,Nhà môi giới,Nhà ở,,2,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,84.72,Quận Hoàng Mai, Thành phố Hà Nội
5.99,56,Ngõ ô tô đỗ cửa,4,,Nhà môi giới,Nhà ở,4,5,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,106.96,Quận Tân Phú, Thành phố Hồ Chí Minh
1.3,100,Ngõ 2 ô tô tránh,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,13,Thị xã Tân Uyên, Tỉnh Bình Dương
68,2200,Mặt phố - Mặt đường,,,Chính chủ,Biệt thự,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,30.91,Quận Bình Tân, Thành phố Hồ Chí Minh
1.95,32,Ngõ 1 ô tô,,,Nhà môi giới,Nhà cấp 4,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,60.94,Quận Bắc Từ Liêm, Thành phố Hà Nội
3.65,39,Ngõ ô tô đỗ cửa,,,Nhà môi giới,Nhà ở,,,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,93.59,Quận Thanh Xuân, Thành phố Hà Nội
29,246,Ngõ 2 ô tô tránh,8.5,,Nhà môi giới,Khách sạn - Nhà nghỉ,,,31,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,117.89,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
14.8,100,Mặt phố - Mặt đường,5,,Nhà môi giới,Nhà ở,,3,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,148,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
55,250,Mặt phố - Mặt đường,6.2,Bắc,Nhà môi giới,Nhà ở,2,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,220,Quận 7, Thành phố Hồ Chí Minh
5,100,Ngõ 1 ô tô,5,Tây Nam,Chính chủ,Căn hộ dịch vụ - Homestay,,,2,,50,Thành phố Hội An, Tỉnh Quảng Nam
0.75,70,Ngõ 2 ô tô tránh,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,,10.71,Huyện Bắc Tân Uyên, Tỉnh Bình Dương
1.45,111.2,Ngõ 1 ô tô,7.5,Tây Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,13.04,Thành phố Huế, Tỉnh Thừa Thiên Huế
4.2,30,Ngõ 2 ô tô tránh,,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,140,Quận Đống Đa, Thành phố Hà Nội
11.5,120,Mặt phố - Mặt đường,8,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,95.83,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
18,124,Mặt phố - Mặt đường,7.6,Bắc,Nhà môi giới,Biệt thự du lịch,,2,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,145.16,Quận 2, Thành phố Hồ Chí Minh
29.7,113,Ngõ ô tô đỗ cửa,6.1,,Nhà môi giới,Nhà ở,,,15,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,262.83,Quận Tây Hồ, Thành phố Hà Nội
0.45,150,Mặt phố - Mặt đường,6,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,3,Huyện Tuy An, Tỉnh Phú Yên
1.3,100,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,13,Thị xã Bến Cát, Tỉnh Bình Dương
0.9,64,Ngõ 2 ô tô tránh,4,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,14.06,Huyện Văn Lâm, Tỉnh Hưng Yên
0.88,82,Ngõ ô tô đỗ cửa,6,Tây Bắc,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,10.73,Huyện An Dương, Thành phố Hải Phòng
2.5,38,Ngõ ô tô đỗ cửa,3.8,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,65.79,Quận Hoàng Mai, Thành phố Hà Nội
14,80,Mặt phố - Mặt đường,4,,Nhà môi giới,Nhà ở,,,,,175,Quận Hải Châu, Thành phố Đà Nẵng
7.5,82,Ngõ 2 ô tô tránh,,,Nhà môi giới,Nhà ở,,5,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,91.46,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
2.5,137.5,Mặt phố - Mặt đường,5,Đông Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,18.2,Thành phố Huế, Tỉnh Thừa Thiên Huế
7.9,192.5,Mặt phố - Mặt đường,10,Tây Bắc,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,41.04,Quận Ngũ Hành Sơn, Thành phố Đà Nẵng
4.5,125,Mặt phố - Mặt đường,,,Nhà môi giới,Nhà liền kề - Song lập - Đơn lập,,,,,36,Quận Ninh Kiều, Thành phố Cần Thơ
3,68,Ngõ ô tô đỗ cửa,,,Chính chủ,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,44.12,Thị xã Dĩ An, Tỉnh Bình Dương
12,100,Mặt phố - Mặt đường,5,Tây Bắc,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,120,Quận Long Biên, Thành phố Hà Nội
6.85,107,Ngõ 2 ô tô tránh,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,64.02,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
2.6,67,Mặt phố - Mặt đường,,,Nhà môi giới,Chung cư,,,,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",38.81,Quận Bắc Từ Liêm, Thành phố Hà Nội
3.2,135,Ngõ 2 ô tô tránh,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,,23.7,Thành phố Thủ Dầu Một, Tỉnh Bình Dương
10.5,7000,Mặt phố - Mặt đường,16,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,1.5,Huyện Lương Sơn, Tỉnh Hoà Bình
7.1,113,Ngõ 2 ô tô tránh,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,62.83,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
16.5,80,Mặt phố - Mặt đường,5,,Nhà môi giới,Khách sạn - Nhà nghỉ,,,13,,206.25,Quận Ngũ Hành Sơn, Thành phố Đà Nẵng
2.3,115,Mặt phố - Mặt đường,5,Bắc,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,20,Thị xã Điện Bàn, Tỉnh Quảng Nam
0.8,61.6,Ngõ 1 ô tô,4,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Hợp đồng mua bán,12.99,Huyện Sóc Sơn, Thành phố Hà Nội
18.5,204,Ngõ 2 ô tô tránh,12,,Nhà môi giới,Nhà ở,,,12,,90.69,Quận Ngũ Hành Sơn, Thành phố Đà Nẵng
4.95,55,Ngõ ngách,,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,90,Quận Đống Đa, Thành phố Hà Nội
1.9,54,,,Đông Bắc,Chính chủ,Chung cư,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,35.19,Quận Nam Từ Liêm, Thành phố Hà Nội
3.95,40,Ngõ ngách,,,Nhà môi giới,Nhà ở,,4,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,98.75,Quận Cầu Giấy, Thành phố Hà Nội
3.1,150,Mặt phố - Mặt đường,5,Tây Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,20.67,Quận Dương Kinh, Thành phố Hải Phòng
5.85,60,Ngõ 1 ô tô,6.1,,Nhà môi giới,Nhà ở,,3,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,97.5,Thành phố Hạ Long, Tỉnh Quảng Ninh
0.551,175,Ngõ 2 ô tô tránh,5,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,3.15,Huyện Đại Lộc, Tỉnh Quảng Nam
1.8,57.5,Mặt phố - Mặt đường,3.7,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,31.3,Thành phố Hải Dương, Tỉnh Hải Dương
48,144,Mặt phố - Mặt đường,8,,Nhà môi giới,Khách sạn - Nhà nghỉ,,,33,,333.33,Quận Ngũ Hành Sơn, Thành phố Đà Nẵng
8.53,243.6,Mặt phố - Mặt đường,,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,35.02,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
2.1,102,Mặt phố - Mặt đường,,,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,20.59,Huyện Quốc Oai, Thành phố Hà Nội
0.53,155,Ngõ 2 ô tô tránh,6,Đông,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,,3.42,Huyện Đắk Hà, Tỉnh Kon Tum
7.3,50,Mặt phố - Mặt đường,4,,Nhà môi giới,Nhà liền kề - Song lập - Đơn lập,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,146,Quận Hà Đông, Thành phố Hà Nội
11.35,15000,Mặt phố - Mặt đường,80,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,0.00075667,Huyện Đất Đỏ, Tỉnh Bà Rịa - Vũng Tàu
4.22,177,Ngõ 2 ô tô tránh,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,23.84,Thành phố Hạ Long, Tỉnh Quảng Ninh
0.87,780,Mặt phố - Mặt đường,13,Đông Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,1.12,Thành phố Bảo Lộc, Tỉnh Lâm Đồng
4.22,117,Ngõ 2 ô tô tránh,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,,36.07,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
