Price,Location,Area,Street,Facade,Direction,Saler,Type,Floor,Bathrooms,Bedrooms,Legal Doc
2.8 Tỷ - 32.56 Triệu/m²,"Quận Bắc Từ Liêm, Thành phố Hà Nội",86 m²,Ngõ 2 ô tô tránh,---,---,Chính chủ,Chung cư,---,2,2,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
1 Tỷ - 10 Triệu/m²,"Huyện Đồng Phú, Tỉnh Bình Phước",100 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
5.2 Tỷ - 130 Triệu/m²,"Quận Đống Đa, Thành phố Hà Nội",40 m²,Ngõ ngách,---,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.4 Tỷ - 38.1 Triệu/m²,"Quận Lê Chân, Thành phố Hải Phòng",63 m²,---,7m,---,Nhà môi giới,Chung cư,---,---,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.65 Tỷ - 38.41 Triệu/m²,"Quận Thủ Đức, Thành phố Hồ Chí Minh",69 m²,Mặt phố - Mặt đường,---,---,Chính chủ,Chung cư,---,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2 Tỷ - 10 Triệu/m²,"Huyện Đồng Phú, Tỉnh Bình Phước",200 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.5 Tỷ - 38.79 Triệu/m²,"Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",116 m²,Mặt phố - Mặt đường,5.8m,Bắc,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.05 Tỷ - 1.05 Triệu/m²,"Thành phố Đà Lạt, Tỉnh Lâm Đồng","1,000 m²",Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
5 Tỷ - 111.11 Triệu/m²,"Quận Đống Đa, Thành phố Hà Nội",45 m²,Ngõ 1 ô tô,---,---,Nhà môi giới,Nhà cấp 4,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.6 Tỷ - 26 Triệu/m²,"Huyện Cần Giuộc, Tỉnh Long An",100 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.5 Tỷ - 151.35 Nghìn/m²,"Huyện Đồng Phú, Tỉnh Bình Phước","9,910.9 m²",Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.4 Tỷ - 38.1 Triệu/m²,"Quận Lê Chân, Thành phố Hải Phòng",63 m²,Ngõ 2 ô tô tránh,7m,---,Nhà môi giới,Chung cư,---,---,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
13.5 Tỷ - 86.54 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",156 m²,Ngõ 2 ô tô tránh,6m,---,Khách vãng lai,Nhà liền kề - Song lập - Đơn lập,---,---,---,Hợp đồng mua bán
2.16 Tỷ - 72 Triệu/m²,"Huyện Hoài Đức, Thành phố Hà Nội",30 m²,Ngõ ô tô đỗ cửa,3.5m,Tây Bắc,Chính chủ,Nhà ở,---,3,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.8 Tỷ - 30 Triệu/m²,"Quận Bắc Từ Liêm, Thành phố Hà Nội",160 m²,Ngõ 2 ô tô tránh,---,Đông Bắc,Nhà môi giới,Chung cư,12,3,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3.3 Tỷ - 33 Triệu/m²,"Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",100 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3.8 Tỷ - 118.75 Triệu/m²,"Quận Cầu Giấy, Thành phố Hà Nội",32 m²,Ngõ ngách,4m,---,Nhà môi giới,Nhà ở,---,---,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3.4 Tỷ - 32.08 Triệu/m²,"Huyện Gia Lâm, Thành phố Hà Nội",106 m²,Ngõ ngách,5m,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
950 Triệu - 1.9 Triệu/m²,"Huyện Củ Chi, Thành phố Hồ Chí Minh",500 m²,Mặt phố - Mặt đường,---,---,Khách vãng lai,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
930 Triệu - 1.86 Triệu/m²,"Huyện Củ Chi, Thành phố Hồ Chí Minh",500 m²,Ngõ ô tô đỗ cửa,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Huyện Bắc Tân Uyên, Tỉnh Bình Dương",70 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3 Tỷ - 50 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",60 m²,Ngõ 2 ô tô tránh,5m,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.65 Tỷ - 29.46 Triệu/m²,"Thành phố Nam Định, Tỉnh Nam Định",56 m²,Ngõ ngách,4m,Đông Nam,Nhà môi giới,Nhà ở,---,2,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
33 Tỷ - 221.48 Triệu/m²,"Quận Tây Hồ, Thành phố Hà Nội",149 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Biệt thự - Song lập - Đơn lập,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.5 Tỷ - 12.71 Triệu/m²,"Huyện Đồng Phú, Tỉnh Bình Phước",118 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
7.5 Tỷ - 93.75 Triệu/m²,"Quận Đống Đa, Thành phố Hà Nội",80 m²,Ngõ 1 ô tô,---,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
7.1 Tỷ - 112.7 Triệu/m²,"Quận Gò Vấp, Thành phố Hồ Chí Minh",63 m²,Ngõ ô tô đỗ cửa,4.2m,Đông,Nhà môi giới,Nhà ở,---,---,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.09 Tỷ - 36.33 Triệu/m²,"Quận Hồng Bàng, Thành phố Hải Phòng",30 m²,Ngõ ngách,3m,Đông,Nhà môi giới,Nhà ở,2,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
999 Triệu - 7.99 Triệu/m²,"Thị xã Tân Uyên, Tỉnh Bình Dương",125 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.7 Tỷ - 78.33 Triệu/m²,"Thị xã Dĩ An, Tỉnh Bình Dương",60 m²,Mặt phố - Mặt đường,4m,---,Nhà môi giới,Shophouse - Nhà phố,---,---,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
45 Tỷ - 159.01 Triệu/m²,"Quận Tây Hồ, Thành phố Hà Nội",283 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,"Đất - Đất nền - Nhà như đất, Biệt thự - Song lập - Đơn lập",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.8 Tỷ - 96 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",50 m²,Ngõ 1 ô tô,4m,---,Nhà môi giới,Nhà ở,---,---,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
50 Tỷ - 312.5 Triệu/m²,"Quận Sơn Trà, Thành phố Đà Nẵng",160 m²,Mặt phố - Mặt đường,10m,---,Nhà môi giới,Khách sạn - Nhà nghỉ,---,---,25,---
1.85 Tỷ - 18.5 Triệu/m²,"Huyện Long Thành, Tỉnh Đồng Nai",100 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
5.33 Tỷ - 115.87 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",46 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Nhà ở,---,4,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
15.3 Tỷ - 157.73 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",97 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
12 Tỷ - 179.1 Triệu/m²,"Quận Lê Chân, Thành phố Hải Phòng",67 m²,Mặt phố - Mặt đường,6.3m,---,Nhà môi giới,"Nhà ở, Mặt bằng thương mại",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.5 Tỷ - 25 Triệu/m²,"Huyện Trảng Bom, Tỉnh Đồng Nai",100 m²,Mặt phố - Mặt đường,---,"Nam, Bắc",Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.56 Tỷ - 11.82 Triệu/m²,"Huyện Đồng Phú, Tỉnh Bình Phước",132 m²,Mặt phố - Mặt đường,6m,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
800 Triệu - 11.43 Triệu/m²,"Huyện Bắc Tân Uyên, Tỉnh Bình Dương",70 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2 Tỷ - 88.11 Triệu/m²,"Quận 7, Thành phố Hồ Chí Minh",22.7 m²,Ngõ ngách,3m,Đông,Nhà môi giới,Nhà ở,---,---,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.4 Tỷ - 38.1 Triệu/m²,"Quận Lê Chân, Thành phố Hải Phòng",63 m²,Ngõ 2 ô tô tránh,7m,---,Nhà môi giới,Chung cư,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4 Tỷ - 80 Triệu/m²,"Quận Cầu Giấy, Thành phố Hà Nội",50 m²,Ngõ ngách,4m,---,Nhà môi giới,Nhà ở,---,---,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.45 Tỷ - 22 Triệu/m²,"Quận Hoàng Mai, Thành phố Hà Nội",66 m²,Ngõ 2 ô tô tránh,---,---,Chính chủ,Chung cư mini,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
750 Triệu - 10.71 Triệu/m²,"Huyện Bắc Tân Uyên, Tỉnh Bình Dương",70 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,---
4.95 Tỷ - 82.5 Triệu/m²,"Quận Gò Vấp, Thành phố Hồ Chí Minh",60 m²,Ngõ ô tô đỗ cửa,4m,---,Nhà môi giới,Nhà ở,---,---,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.2 Tỷ - 2.53 Triệu/m²,"Huyện Đức Hòa, Tỉnh Long An",475 m²,Mặt phố - Mặt đường,---,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.1 Tỷ - 108.93 Triệu/m²,"Quận Gò Vấp, Thành phố Hồ Chí Minh",56 m²,Ngõ ô tô đỗ cửa,5m,---,Chính chủ,Nhà ở,---,---,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.2 Tỷ - 2.53 Triệu/m²,"Huyện Đức Hòa, Tỉnh Long An",475 m²,Mặt phố - Mặt đường,---,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.1 Tỷ - 108.93 Triệu/m²,"Quận Gò Vấp, Thành phố Hồ Chí Minh",56 m²,Ngõ ô tô đỗ cửa,5m,---,Chính chủ,Nhà ở,---,---,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.7 Tỷ - 96.4 Triệu/m²,"Quận Tân Bình, Thành phố Hồ Chí Minh",69.5 m²,Ngõ ngách,7m,---,Nhà môi giới,"Nhà ở, Căn hộ dịch vụ - Homestay, Phòng trọ/ Nhà trọ",---,---,15,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.4 Tỷ - 17.65 Triệu/m²,"Thị xã Bến Cát, Tỉnh Bình Dương",136 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.7 Tỷ - 29.38 Triệu/m²,"Quận Bắc Từ Liêm, Thành phố Hà Nội",160 m²,Ngõ 2 ô tô tránh,---,Đông Bắc,Nhà môi giới,Chung cư,12,3,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.5 Tỷ - 65.66 Triệu/m²,"Thành phố Nha Trang, Tỉnh Khánh Hòa",99 m²,Ngõ 2 ô tô tránh,5m,Bắc,Chính chủ,Shophouse - Nhà phố,---,---,---,---
2.76 Tỷ - 56 Triệu/m²,"Huyện Đông Anh, Thành phố Hà Nội",49.2 m²,Ngõ 2 ô tô tránh,4.1m,Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.4 Tỷ - 38.1 Triệu/m²,"Quận Lê Chân, Thành phố Hải Phòng",63 m²,Mặt phố - Mặt đường,7m,---,Nhà môi giới,Chung cư,---,---,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
9.5 Tỷ - 146.15 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",65 m²,Ngõ ô tô đỗ cửa,4.8m,---,Nhà môi giới,Nhà ở,---,---,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.3 Tỷ - 31 Triệu/m²,"Huyện Đông Anh, Thành phố Hà Nội",42 m²,Ngõ 1 ô tô,4.2m,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.38 Tỷ - 27.6 Triệu/m²,"Quận Hai Bà Trưng, Thành phố Hà Nội",50 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.8 Tỷ - 69.39 Triệu/m²,"Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",98 m²,Ngõ 2 ô tô tránh,4.5m,---,Nhà môi giới,Nhà ở,---,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3.05 Tỷ - 84.72 Triệu/m²,"Quận Hoàng Mai, Thành phố Hà Nội",36 m²,Ngõ 1 ô tô,6.2m,---,Nhà môi giới,Nhà ở,---,2,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
5.99 Tỷ - 106.96 Triệu/m²,"Quận Tân Phú, Thành phố Hồ Chí Minh",56 m²,Ngõ ô tô đỗ cửa,4m,---,Nhà môi giới,Nhà ở,4,5,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.3 Tỷ - 13 Triệu/m²,"Thị xã Tân Uyên, Tỉnh Bình Dương",100 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
68 Tỷ - 30.91 Triệu/m²,"Quận Bình Tân, Thành phố Hồ Chí Minh","2,200 m²",Mặt phố - Mặt đường,---,---,Chính chủ,Biệt thự - Song lập - Đơn lập,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.95 Tỷ - 60.94 Triệu/m²,"Quận Bắc Từ Liêm, Thành phố Hà Nội",32 m²,Ngõ 1 ô tô,---,---,Nhà môi giới,"Nhà cấp 4, Đất - Đất nền - Nhà như đất",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3.65 Tỷ - 93.59 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",39 m²,Ngõ ô tô đỗ cửa,---,---,Nhà môi giới,Nhà ở,---,---,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
29 Tỷ - 117.89 Triệu/m²,"Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",246 m²,Ngõ 2 ô tô tránh,8.5m,---,Nhà môi giới,Khách sạn - Nhà nghỉ,---,---,31,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
14.8 Tỷ - 148 Triệu/m²,"Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",100 m²,Mặt phố - Mặt đường,5m,---,Nhà môi giới,Nhà ở,---,3,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
55 Tỷ - 220 Triệu/m²,"Quận 7, Thành phố Hồ Chí Minh",250 m²,Mặt phố - Mặt đường,6.2m,Bắc,Nhà môi giới,Nhà ở,2,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
5 Tỷ - 50 Triệu/m²,"Thành phố Hội An, Tỉnh Quảng Nam",100 m²,Ngõ 1 ô tô,5m,Tây Nam,Chính chủ,Căn hộ dịch vụ - Homestay,---,---,2,---
750 Triệu - 10.71 Triệu/m²,"Huyện Bắc Tân Uyên, Tỉnh Bình Dương",70 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,---
1.45 Tỷ - 13.04 Triệu/m²,"Thành phố Huế, Tỉnh Thừa Thiên Huế",111.2 m²,Ngõ 1 ô tô,7.5m,Tây Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.2 Tỷ - 140 Triệu/m²,"Quận Đống Đa, Thành phố Hà Nội",30 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
11.5 Tỷ - 95.83 Triệu/m²,"Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",120 m²,Mặt phố - Mặt đường,8m,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
18 Tỷ - 145.16 Triệu/m²,"Quận 2, Thành phố Hồ Chí Minh",124 m²,Mặt phố - Mặt đường,7.6m,Bắc,Nhà môi giới,"Biệt thự du lịch, văn phòng - Officetel, Toà nhà văn phòng, Mặt bằng thương mại",---,2,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
29.7 Tỷ - 262.83 Triệu/m²,"Quận Tây Hồ, Thành phố Hà Nội",113 m²,Ngõ ô tô đỗ cửa,6.1m,---,Nhà môi giới,Nhà ở,---,---,15,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
450 Triệu - 3 Triệu/m²,"Huyện Tuy An, Tỉnh Phú Yên",150 m²,Mặt phố - Mặt đường,6m,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.3 Tỷ - 13 Triệu/m²,"Thị xã Bến Cát, Tỉnh Bình Dương",100 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
900 Triệu - 14.06 Triệu/m²,"Huyện Văn Lâm, Tỉnh Hưng Yên",64 m²,Ngõ 2 ô tô tránh,4m,---,Nhà môi giới,"Nhà ở, Nhà cấp 4, Đất - Đất nền - Nhà như đất",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
880 Triệu - 10.73 Triệu/m²,"Huyện An Dương, Thành phố Hải Phòng",82 m²,Ngõ ô tô đỗ cửa,6m,Tây Bắc,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.5 Tỷ - 65.79 Triệu/m²,"Quận Hoàng Mai, Thành phố Hà Nội",38 m²,Ngõ ô tô đỗ cửa,3.8m,---,Nhà môi giới,Nhà ở,---,---,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Quận Liên Chiểu, Thành phố Đà Nẵng",100 m²,Ngõ 1 ô tô,5m,Đông Bắc,Khách vãng lai,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
14 Tỷ - 175 Triệu/m²,"Quận Hải Châu, Thành phố Đà Nẵng",80 m²,Mặt phố - Mặt đường,4m,---,Nhà môi giới,Nhà ở,---,---,---,---
